MetaRank,GeneSymbol,Pathway,NominalSupportCount,RandomEffect,Lower95CI,Upper95CI,I2,EvidenceTier,PerStudyEffects
2,IL6,cytokine,1,0.5762557890236224,-0.11642973842663495,1.2689413164738799,52.445691901827615,single-cohort,"GSE18090:0.06, p=0.91; GSE51808:0.31, p=0.364; GSE43777:1.24, p=0.00187"
6,BDNF,neurological,1,0.25009428351461693,-0.3752394575474137,0.8754280245766476,83.48207220500346,single-cohort,"GSE18090:-0.47, p=0.326; GSE51808:0.11, p=0.404; GSE43777:0.83, p=2.15e-05"
7,TNF,cytokine,1,0.2159996416007929,-0.8370061557688692,1.269005438970455,78.98368148707992,single-cohort,"GSE18090:-0.07, p=0.901; GSE51808:-0.44, p=0.15; GSE43777:1.20, p=0.00611"
9,IL1B,cytokine,1,0.10305598477797476,-1.1630555292193665,1.3691674987753162,68.74431917656428,single-cohort,"GSE18090:0.02, p=0.982; GSE51808:-0.93, p=0.143; GSE43777:1.05, p=0.0263"
10,SERPINE1,coagulation,1,-0.07696381063641047,-0.5133888557758893,0.3594612345030683,64.86908130710117,single-cohort,"GSE18090:-1.10, p=0.0264; GSE51808:0.09, p=0.68; GSE43777:0.11, p=0.335"
12,HMOX1,oxidative,1,0.04453167106212975,-0.6754255875950228,0.7644889297192823,72.24300098847117,single-cohort,"GSE18090:-0.70, p=0.172; GSE51808:-0.09, p=0.744; GSE43777:0.65, p=0.0115"
22,F3,coagulation,0,0.15750457993271616,-0.049646476631428044,0.3646556364968604,0.0,mechanistic-only,"GSE18090:-0.19, p=0.796; GSE51808:0.09, p=0.5; GSE43777:0.32, p=0.0845"
23,VWF,endothelial,0,-0.14166875746625543,-0.32371180626210755,0.04037429132959669,0.0,mechanistic-only,"GSE18090:-0.03, p=0.938; GSE51808:0.17, p=0.659; GSE43777:-0.17, p=0.0866"
24,ANGPT2,endothelial,0,0.14147198387812382,-0.003679681260928075,0.28662364901717574,0.0,mechanistic-only,"GSE18090:0.06, p=0.903; GSE51808:0.16, p=0.182; GSE43777:0.13, p=0.168"
